frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
922,30.733333,detected,OK,1,13,lost,LOST,NO_MATCH,1,1,,732.000000,477.000000,,,,,,,,,
923,30.766667,detected,OK,2,13,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,731.500000,479.500000,913.500000,579.500000,38.000000,182.000000,100.000000,207.663189,-0.502421,-28.786618,0.029360
940,31.333333,detected,OK,1,13,lost,LOST,NO_MATCH,1,1,,732.500000,500.000000,,,,,,,,,
941,31.366667,detected,OK,2,13,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,734.000000,500.000000,927.500000,569.500000,35.500000,193.500000,69.500000,205.602772,-0.344823,-19.756924,1.050334
1213,40.433333,detected,OK,0,13,lost,LOST,NO_VALID_TARGET,1,1,,802.000000,770.000000,,,,,,,,,
1220,40.666667,detected,OK,2,13,lost,RELEASED,NO_MATCH,8,0,,804.000000,763.500000,,,,,,,,,
1221,40.700000,detected,OK,1,14,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,804.000000,762.500000,963.500000,917.500000,33.799999,159.500000,155.000000,222.407846,-0.771091,-44.180244,
1225,40.833333,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,802.500000,762.000000,,,,,,,,,
1226,40.866667,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,802.000000,763.500000,962.500000,911.500000,37.500000,160.500000,148.000000,218.321437,-0.744902,-42.679722,0.147854
1240,41.333333,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,804.000000,761.500000,,,,,,,,,
1241,41.366667,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,802.500000,763.000000,969.500000,902.500000,40.700001,167.000000,139.500000,217.598828,-0.695915,-39.872998,0.783731
1286,42.866667,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,824.000000,750.000000,,,,,,,,,
1287,42.900000,detected,OK,1,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,824.500000,749.500000,1012.500000,860.500000,34.200001,188.000000,111.000000,218.323155,-0.533350,-30.558687,0.357004
1387,46.233333,detected,OK,0,14,lost,LOST,NO_VALID_TARGET,1,1,,862.500000,562.500000,,,,,,,,,
1388,46.266667,detected,OK,1,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,835.500000,596.000000,997.500000,517.500000,33.799999,162.000000,-78.500000,180.017360,0.451226,25.853339,0.909442
1431,47.700000,detected,OK,0,14,lost,LOST,NO_VALID_TARGET,1,1,,767.000000,784.500000,,,,,,,,,
1432,47.733333,detected,OK,1,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,770.500000,784.000000,832.500000,633.500000,33.299999,62.000000,-150.500000,162.770544,1.180022,67.610292,0.427047
1453,48.433333,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,836.000000,752.000000,,,,,,,,,
1454,48.466667,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,838.000000,750.500000,829.500000,588.500000,32.200001,-8.500000,-162.000000,162.222841,1.623217,93.003506,2.598876
1462,48.733333,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,856.000000,738.000000,,,,,,,,,
1463,48.766667,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,858.000000,738.000000,821.500000,576.500000,34.400002,-36.500000,-161.500000,165.573247,1.793068,102.735244,0.352483
1465,48.833333,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,864.500000,735.500000,,,,,,,,,
1466,48.866667,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,866.000000,736.000000,815.500000,575.500000,34.599998,-50.500000,-160.500000,168.257244,1.875631,107.465752,1.747844
1493,49.766667,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,898.500000,679.500000,,,,,,,,,
1494,49.800000,detected,OK,2,14,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,900.000000,675.000000,781.500000,546.500000,34.400002,-118.500000,-128.500000,174.798455,2.315731,132.681599,2.252890
1542,51.400000,detected,OK,1,14,lost,LOST,NO_MATCH,1,1,,916.000000,571.000000,,,,,,,,,
1549,51.633333,detected,OK,1,14,lost,RELEASED,NO_MATCH,8,0,,775.500000,509.000000,,,,,,,,,
1550,51.666667,detected,OK,1,15,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,740.500000,492.000000,847.500000,673.500000,36.599998,107.000000,181.500000,210.692311,-1.038110,-59.479303,
1636,54.533333,lost,NO_R_CANDIDATE,0,15,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
1637,54.566667,detected,OK,1,15,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,534.500000,493.500000,688.500000,630.500000,37.099998,154.000000,137.000000,206.118898,-0.727045,-41.656624,0.513055
1657,55.233333,detected,OK,0,15,lost,LOST,NO_VALID_TARGET,1,1,,524.000000,509.500000,,,,,,,,,
1664,55.466667,detected,OK,0,15,lost,RELEASED,NO_VALID_TARGET,8,0,,522.000000,511.000000,,,,,,,,,
1681,56.033333,detected,OK,2,16,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,524.500000,509.000000,701.500000,610.500000,37.700001,177.000000,101.500000,204.037374,-0.520666,-29.831957,
1734,57.800000,detected,OK,1,16,lost,LOST,NO_MATCH,1,1,,514.000000,687.500000,,,,,,,,,
1735,57.833333,detected,OK,2,16,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,516.000000,689.500000,706.500000,694.500000,34.900002,190.500000,5.000000,190.565606,-0.026241,-1.503481,0.768148
1739,57.966667,detected,OK,1,16,lost,LOST,NO_MATCH,1,1,,582.500000,663.500000,,,,,,,,,
1746,58.200000,detected,OK,1,16,lost,RELEASED,NO_MATCH,8,0,,931.000000,546.500000,,,,,,,,,
1747,58.233333,detected,OK,1,17,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,948.500000,537.500000,763.500000,493.500000,35.200001,-185.000000,-44.000000,190.160459,2.908093,166.621460,
